utt,speaker,l1,lookahead_ms,chunk_ms,t_algorithmic_ms,n_frames,divergence_mean,divergence_p95,cka_to_bidirectional,div_silence,div_sonorant_steady,div_obstruent_or_transient
19,ABA,Arabic,40,40.0,80.0,201,0.39725378155708313,0.7384133338928223,0.8047896406182442,0.4068705439567566,0.3971412777900696,0.3928789496421814
19,ABA,Arabic,80,40.0,120.0,201,0.3236870765686035,0.7394450902938843,0.8552495119760496,0.32315143942832947,0.3457222580909729,0.304719477891922
19,ABA,Arabic,160,40.0,200.0,201,0.23529067635536194,0.5989091992378235,0.8910099091250292,0.254223495721817,0.2473450005054474,0.21597222983837128
19,ABA,Arabic,320,40.0,360.0,201,0.16130460798740387,0.43367522954940796,0.9255275499734499,0.21703596413135529,0.1536284238100052,0.14207738637924194
19,ABA,Arabic,640,40.0,680.0,201,0.09017954021692276,0.23745852708816528,0.9579653465350602,0.1006324514746666,0.09793887287378311,0.07855086773633957
20,PNV,Vietnamese,0,40.0,40.0,195,0.4616680443286896,0.8102810382843018,0.7589317655796884,0.4196034371852875,0.4934570789337158,0.4573856294155121
20,PNV,Vietnamese,20,40.0,60.0,195,0.3660106956958771,0.7581135034561157,0.8175075266553203,0.35785678029060364,0.3875199556350708,0.35450419783592224
20,PNV,Vietnamese,40,40.0,80.0,195,0.31696414947509766,0.6927359104156494,0.8413567008925353,0.34288981556892395,0.33163854479789734,0.29576560854911804
20,PNV,Vietnamese,80,40.0,120.0,195,0.24806302785873413,0.5143477320671082,0.885258949088531,0.27088451385498047,0.25411492586135864,0.23417866230010986
20,PNV,Vietnamese,160,40.0,200.0,195,0.18266239762306213,0.49920010566711426,0.9221413552655998,0.19643157720565796,0.17921477556228638,0.17922385036945343
20,PNV,Vietnamese,320,40.0,360.0,195,0.11335652321577072,0.23562996089458466,0.9549994973641984,0.15450987219810486,0.09016267955303192,0.11204592883586884
20,PNV,Vietnamese,640,40.0,680.0,195,0.07691477239131927,0.15645398199558258,0.967213272059931,0.138946533203125,0.05754266679286957,0.06409495323896408
